TripKey,TripNumber,dDate,Recorder,Vessel,TripData.TimeStart,TripData.TimeEnd,Camera,Beaufort,WindDirection,WindSpeed (mph),CloudPer,AirTemp (C),Surface Temp (C),20mTemp (C),Tide,Sightings?,WaveHeight (m),Gen Area,Visibility (km),SightingN,Species,GroupSize,SightingsData.TimeStart,SightingsData.TimeEnd,Latitude,Longitude,Range,Bearing,Comments
879,2,20-Aug-19,Sarah Rappaport,Atlanticat,2:30:00 PM,7:30:00 PM,Canon 60D,1,NW,2,0,19.1,12.2,10.6,Flood,TRUE,1,Grand Manan,2998.17,3,La,30,5:22:00 PM,5:32:00 PM,44.15,-67.09,800,30,
880,1,20-Aug-19,Nicole Pegg,Friendship V,1:00:00 PM,6:00:00 PM,Canon 60D,1,SE,2,0,19.9,12.6,11,Flood,TRUE,1,Grand Manan Banks,2.99817,1,La,75,2:17:00 PM,2:23:00 PM,44.18,-67.41,120,,
886,1,16-Jul-19,Grace Leary,Atlanticat,8:30:00 AM,1:00:00 PM,Canon 60D,1,WSW,4,5,14.5,11.9,9.1,,TRUE,0,grand manan,2990,3,La,1,,,44.15,67.14,,,
889,1,25-Jul-19,Grace Leary,Atlanticat,8:30:00 AM,12:00:00 PM,Canon 60D,2,NW,2.1,95,14.5,12.7,9.9,Slack,TRUE,2,Grand manan banks,10+,1,La,,10:39:00 AM,10:49:00 AM,44.17,-67.09,,,
892,1,28-Aug-19,Sarah Rappaport,Atlanticat,8:30:00 AM,1:00:00 PM,Canon 60D,1,SE,5,8,13.7,13,11,Flood,TRUE,1,Grand Manan,2843.19,1,Dd,30,10:38:00 AM,10:45:00 AM,44.13,-67.06,50,125,
895,1,23-Aug-19,Nicole Pegg,Atlanticat,8:30:00 AM,1:45:00 PM,Canon 60D,1,W,5,90,14.6,12.5,10.5,Ebb,TRUE,1,Grand Manan Banks,2.94651,2,La,50,10:40:00 AM,10:50:00 AM,44.14,-67.13,800,,
846,2,26-Jul-19,Sarah Rappaport,Atlanticat,2:30:00 PM,7:15:00 PM,Canon 60D,1,S,6,2,14.8,13.9,9.4,Flood,TRUE,1,Grand Manan,2.99336,1,La,50,4:06:00 PM,4:15:00 PM,44.12,67.17,150,340,
852,1,25-Jul-19,Brooke Davis,Friendship V,1:00:00 PM,6:00:00 PM,Canon 60D,1,NW,2,50,14.2,12.6,0,Flood,TRUE,1,Grand Manan Banks,,3,La,100,2:54:00 PM,3:00:00 PM,44.13,67.18,30,120,
856,1,26-Jul-19,Nicole Pegg,Friendship V,1:00:00 PM,6:10:00 PM,Canon 60D,1,SSW,7,0,15.1,13.8,9.5,Flood,TRUE,1,Grand Manan Banks,,3,La,70,2:52:00 PM,2:59:00 PM,44.13,-67.18,30,,
864,1,31-Jul-19,Brooke Davis,Friendship V,1:00:00 PM,6:00:00 PM,Canon 60D,2,SSW,7,100,17.1,15.3,,Ebb,TRUE,0,Grand Manan Banks,4.00,1,La,100,2:57:00 PM,4:11:00 PM,44.12,67.13,500,110,
8,2,14-Sep-21,Abigail Simms,Atlanticat,8:30:00 AM,12:00:00 PM,Canon 60D,2,SW,10,,13.2,10.8,8.6,,TRUE,1,Ballpark,,2,La,20,1:34:00 PM,1:35:00 PM,44.04,67.74,100,25,
8,2,14-Sep-21,Abigail Simms,Atlanticat,8:30:00 AM,12:00:00 PM,Canon 60D,2,SW,10,,13.2,10.8,8.6,,TRUE,1,Ballpark,,2,La,100,10:20:00 AM,10:30:00 AM,44.12,67.81,100,160,
118,1,14-Aug-15,Amanda Liebau,Atlanticat,8:30:00 AM,12:20:00 PM,Canon 40D,2,NW,4,0,14,11.1,10.3,Flood,TRUE,3,,,1,La,200,10:37:00 AM,10:50:00 AM,44.34,67.33,800,130,
121,1,15-Aug-15,Amanda Liebau,Friendship V,8:30:00 AM,12:10:00 PM,Canon 40D,2,SSW,7,40,13.9,11.6,10,Flood,TRUE,3,,,1,La,3,9:50:00 AM,10:00:00 AM,44.23,67.63,300,150,
152,2,05-Sep-15,Amanda Liebau,Friendship V,1:00:00 PM,4:00:00 PM,Canon 40D,1,SW,8,10,14.3,12.5,10.7,Slack,TRUE,1,,,1,La,50,2:10:00 PM,2:20:00 PM,44.08,68.00,1000,180,
152,2,05-Sep-15,Amanda Liebau,Friendship V,1:00:00 PM,4:00:00 PM,Canon 40D,1,SW,8,10,14.3,12.5,10.7,Slack,TRUE,1,,,2,La,100,2:28:00 PM,2:36:00 PM,44.03,67.75,1000,120,
156,1,12-Sep-15,Amanda Liebau,Friendship V,6:00:00 AM,2:00:00 PM,Canon 40D,2,N,13,100,13.1,12.2,11.9,Flood,TRUE,3,,,2,La,100,9:18:00 AM,9:19:00 AM,44.17,67.22,500,90,
157,1,18-Sep-15,Amanda Liebau,Atlanticat,12:00:00 PM,4:00:00 PM,Canon 40D,1,SSW,6,0,16.2,13.6,12.5,Flood,TRUE,1,,,1,La,100,2:10:00 PM,2:25:00 PM,43.99,67.95,300,330,
158,1,23-Sep-15,Amanda Liebau,Atlanticat,12:00:00 PM,4:00:00 PM,Canon 40D,2,N,2,30,14,12.9,11.9,Ebb,TRUE,3,,,1,La,150,2:00:00 AM,2:20:00 PM,44.15,67.48,300,215,
177,1,20-Jun-14,Anastasia Czarnecki,Friendship V,8:30:00 AM,12:00:00 PM,Canon 40D,1,NW,7,20,11.2,9,7.3,Ebb,TRUE,1,,,1,La,300,10:43:00 AM,11:07:00 AM,44.01,-67.67,100,320,
249,2,07-Aug-14,Anastasia Czarnecki,Friendship V,1:00:00 PM,4:00:00 PM,Canon 40D,1,,0,10,0,0,0,,TRUE,,,,5,La,1,2:14:00 PM,2:23:00 PM,44.21,-67.66,800,160,
259,2,10-Aug-14,Marina Cucuzza,Friendship V,1:00:00 PM,4:00:00 PM,Canon 40D,1,NE,6,35,13.6,12.4,10.2,Ebb,TRUE,0,,,1,La,2,1:00:00 PM,4:00:00 PM,44.21,-67.78,100,,
278,3,19-Aug-14,Keri Smith,Friendship V,4:30:00 PM,8:30:00 PM,Canon 30D,2,SW,10,5,14,13,10,Slack,TRUE,0,,,2,La,200,6:20:00 PM,6:31:00 PM,43.99,-68.09,400,245,
291,3,24-Aug-14,Keri Smith,Friendship V,4:30:00 PM,8:30:00 PM,Canon 30D,2,SSW,7,20,15.6,12.9,10.6,Flood,TRUE,1,,,1,La,200,5:40:00 PM,5:50:00 PM,44.13,-67.95,,,
292,1,25-Aug-14,Keri Smith,Friendship V,8:30:00 AM,12:30:00 PM,Canon 30D,2,SW,4,20,14.9,13.5,10.7,Flood,TRUE,1,,,1,La,100,10:08:00 AM,10:17:00 AM,44.15,44.09,50,80,
293,2,25-Aug-14,Keri Smith,Friendship V,1:00:00 PM,4:00:00 PM,Canon 30D,2,SSE,3,35,15.8,12.9,11.1,Ebb,TRUE,1,,,1,La,1,3:03:00 PM,3:30:00 PM,44.06,-68.10,100,55,
294,3,25-Aug-14,Keri Smith,Friendship V,4:30:00 PM,9:00:00 PM,Canon 30D,2,SSW,6,40,15.8,13.5,10.7,Flood,TRUE,1,,,1,La,100,5:51:00 AM,9:00:00 PM,44.30,-67.45,800,100,
299,,30-Aug-14,Keri Smith,Friendship V,1:00:00 PM,5:00:00 PM,Canon 40D,1,S,9,64,60,55,51,Ebb,TRUE,4,,,1,La,250,2:12:00 PM,2:29:00 PM,43.98,-68.10,120,30,
304,1,07-Sep-14,Julie Sharp,Atlanticat,11:00:00 AM,,Canon 40D,1,N,11,5,14.3,13.3,11.4,,TRUE,1,,,3,La,150,12:15:00 PM,12:45:00 PM,44.02,-68.13,100,60,
305,1,08-Sep-14,Julie Sharp,Friendship V,12:00:00 PM,,Canon 40D,3,NNE,9,0,13.7,13.3,12.2,,TRUE,0,,,1,La,500,12:45:00 PM,12:51:00 PM,44.24,-67.84,100,120,
305,1,08-Sep-14,Julie Sharp,Friendship V,12:00:00 PM,,Canon 40D,3,NNE,9,0,13.7,13.3,12.2,,TRUE,0,,,,La,200,,,0.00,0.00,,,
306,1,09-Sep-14,Julie Sharp,Atlanticat,11:00:00 AM,,Canon 40D,3,NE,12,10,12.8,12.9,12,,TRUE,1,,,1,Tt,100,1:20:00 PM,1:40:00 PM,44.03,-67.83,75,,
313,1,16-Sep-14,Julie Sharp,Atlanticat,12:00:00 PM,,Canon 30D,0,SW,6,100,12.9,11.8,11.7,,TRUE,,,,1,La,75,1:13:00 AM,1:25:00 AM,44.11,67.87,100,290,
313,1,16-Sep-14,Julie Sharp,Atlanticat,12:00:00 PM,,Canon 30D,0,SW,6,100,12.9,11.8,11.7,,TRUE,,,,6,La,1,3:05:00 AM,3:06:00 PM,44.02,67.82,50,270,
314,1,18-Sep-14,Keri Smith,Atlanticat,12:00:00 PM,3:45:00 PM,Canon 10D,2,SW,9,15,13.1,12.3,11.6,Slack,TRUE,2,,,1,La,100,1:22:00 PM,1:30:00 PM,43.92,68.06,300,,
321,1,25-Sep-14,Keri Smith,Atlanticat,12:00:00 PM,4:00:00 PM,Canon 30D,2,,5,50,13.3,12.4,12.1,Ebb,TRUE,0,,,2,La,100,2:46:00 PM,3:55:00 PM,44.15,-67.82,1400,345,
322,1,06-Oct-14,Keri Smith,Atlanticat,12:00:00 PM,,Canon 10D,2,SSW,9,5,13.8,12.9,12.6,Ebb,TRUE,1,,,1,La,20,2:45:00 PM,3:01:00 PM,44.17,-67.67,200,,
361,1,12-Jul-16,Teagan White,Friendship V,8:00:00 AM,12:30:00 AM,Canon 40D,2,SW,4,70,12.6,11.9,11.9,Ebb,TRUE,1,,,1,La,3,10:02:00 AM,10:05:00 AM,44.25,67.83,,,
393,3,21-Jul-16,Teagan White,Friendship V,4:30:00 PM,7:30:00 PM,Canon 40D,3,SW,6,100,15,12.5,11.2,Ebb,TRUE,0,,,3,La,7,5:23:00 PM,,44.13,67.82,,,
430,1,13-Aug-16,Teagan White,Friendship V,8:30:00 AM,12:00:00 PM,Canon 40D,2,NNW,9,100,14.7,13.7,13.4,Ebb,TRUE,1,,,2,La,10,9:26:00 AM,,44.20,67.76,,,
430,1,13-Aug-16,Teagan White,Friendship V,8:30:00 AM,12:00:00 PM,Canon 40D,2,NNW,9,100,14.7,13.7,13.4,Ebb,TRUE,1,,,9,La,6,10:35:00 AM,,44.19,67.77,,,
435,1,03-Aug-16,Francesca Gundrum,Atlanticat,8:33:00 AM,11:45:00 AM,Canon 40D,1,SSE,3,5,13.9,12.4,12.1,Flood,TRUE,0,,,1,La,250,10:06:00 AM,10:19:00 AM,44.08,-67.53,500,150,
436,1,19-Aug-16,Haley Saxe,Atlanticat,8:30:00 AM,12:15:00 PM,Canon 40D,2,NW,5,0,16.1,13.9,12.2,Flood,TRUE,1,,,2,La,50,11:15:00 AM,11:20:00 AM,44.16,67.82,1000,150,
444,3,03-Aug-16,Francesca Gundrum,Atlanticat,4:43:00 PM,7:15:00 PM,Canon 40D,2,SSE,3,10,16.4,13.3,12,Ebb,TRUE,1,,,4,La,20,5:39:00 PM,5:41:00 PM,44.06,67.53,200,90,
447,3,09-Aug-16,Francesca Gundrum,Atlanticat,4:50:00 PM,7:45:00 PM,Canon 40D,2,,11,90,15.7,13.8,13,Slack,TRUE,1,,,5,La,200,6:30:00 PM,7:10:00 PM,44.08,67.56,500,80,
468,1,22-Aug-16,Francesca Gundrum,Atlanticat,4:35:00 PM,7:45:00 PM,Canon 40D,5,E,5,25,14.3,12.7,12.4,Flood,TRUE,0,,,1,La,300,5:21:00 PM,5:45:00 PM,44.04,67.50,200,150,
469,1,24-Aug-16,Francesca Gundrum,Friendship V,8:35:00 AM,11:45:00 AM,Canon 40D,2,W,7,0,14.6,13.3,12.3,Ebb,TRUE,0,,,1,La,300,9:20:00 AM,9:36:00 AM,44.09,67.50,2000,180,
471,3,24-Aug-16,Francesca Gundrum,Friendship V,4:41:00 PM,7:25:00 PM,Canon 40D,2,,8,40,15.2,13.5,12.8,Slack,TRUE,8,,,2,La,400,5:45:00 PM,7:00:00 PM,44.08,67.50,250,80,
474,1,27-Aug-16,Francesca Gundrum,Atlanticat,8:35:00 AM,11:45:00 AM,Canon 40D,1,NW,4,5,16.8,14.3,13.2,Slack,TRUE,0,,,1,La,75,9:14:00 AM,9:27:00 AM,44.11,67.53,500,330,
480,1,03-Sep-16,Francesca Gundrum,Atlanticat,8:35:00 AM,11:35:00 AM,Canon 40D,0,NNW,5,10,14.3,13.5,13.1,Flood,TRUE,1,,,1,La,30,9:06:00 AM,9:10:00 AM,44.12,-68.08,300,60,
490,1,22-Sep-16,Krisy Kelley,Atlanticat,12:00:00 PM,4:00:00 PM,Canon 40D,1,W,3,5,15,13.6,12.8,Flood,TRUE,1,,,3,La,20,1:32:00 PM,1:41:00 PM,44.06,68.10,274,210,
500,1,06-Oct-16,Krisy Kelley,Atlanticat,12:00:00 PM,4:00:00 PM,Canon 40D,2,SW,4,0,12.8,12.4,12.3,Flood,TRUE,1,,,1,La,80,12:49:00 PM,12:58:00 PM,44.09,68.24,805,270,
503,1,11-Oct-16,Krisy Kelley,Atlanticat,12:00:00 PM,3:30:00 PM,Canon 40D,1,NNW,14,0,10.2,12.3,12.3,Slack,TRUE,1,,,3,La,200,1:52:00 PM,2:05:00 PM,44.00,-68.07,805,270,
575,2,31-Jul-17,Liz Virgl,Atlanticat,1:51:00 PM,3:09:00 PM,Canon 60D,1,SW,9,5,13.6,11.9,0,Slack,TRUE,1,,,2,La,30,2:01:00 PM,3:05:00 AM,44.12,67.82,,,
588,2,30-Jul-17,Natalie Hunter,Atlanticat,1:10:00 PM,5:00:00 PM,Canon 60D,1,SSW,6,10,17.6,11.4,,Flood,TRUE,0,,,3,La,100,3:33:00 PM,3:42:00 PM,44.07,67.15,91,60,
590,2,03-Aug-17,Liz Virgl,Friendship V,2:14:00 PM,3:17:00 PM,Canon 60D,0,S,8,70,15.9,14.5,0,Ebb,TRUE,1,,,2,Pp,8,2:27:00 PM,2:54:00 PM,43.97,68.05,800,330,
595,1,08-Aug-17,Natalie Hunter,Friendship V,4:30:00 PM,8:45:00 PM,Canon 60D,1,SW,3,50,14.7,12.7,,Ebb,TRUE,1,,,2,La,100,6:16:00 PM,6:31:00 PM,43.95,67.93,402,135,
595,1,08-Aug-17,Natalie Hunter,Friendship V,4:30:00 PM,8:45:00 PM,Canon 60D,1,SW,3,50,14.7,12.7,,Ebb,TRUE,1,,,3,La,60,7:00:00 PM,7:04:00 PM,44.08,67.80,46,5,
596,1,07-Aug-17,Emma Ober,Friendship V,8:30:00 AM,12:00:00 PM,Canon 60D,2,SW,7,0,14.4,12.8,0,Flood,TRUE,1,,,1,La,80,10:04:00 AM,10:20:00 AM,44.14,67.84,270,100,
596,1,07-Aug-17,Emma Ober,Friendship V,8:30:00 AM,12:00:00 PM,Canon 60D,2,SW,7,0,14.4,12.8,0,Flood,TRUE,1,,,2,La,150,10:35:00 AM,10:48:00 AM,44.14,67.84,50,303,
